213004023520250, 255007063487325, 286351797522218 @ 118, 41, -64
488850102886640, 357544262814165, 194409329434718 @ -73, -83, 182
193401607687542, 253348355203801, 213339230780036 @ 133, 51, 98
364824556346551, 260626401541541, 361655377972788 @ 33, 23, -23
550091223256080, 390147168353451, 262217645702178 @ -171, -128, 102
305200256686321, 316711673738693, 194854494380394 @ 145, -33, 183
207979510913750, 261386170984185, 255317192004248 @ 79, 27, -39
243923652854078, 279918496708334, 263368855906889 @ -10, -28, -46
296252401452864, 327874358550835, 377993052144176 @ 136, -51, -19
421277050485032, 273623815775052, 269761614145925 @ -12, 8, 96
387591742665614, 247504401752411, 358594078602004 @ 20, 38, -9
468809819568290, 385036788868905, 294013914519908 @ -162, -153, 36
258179972834194, 52748555929109, 91112819123352 @ 186, 236, 289
343980075964643, 281611462452516, 293357299565044 @ -7, -8, 25
159369656759875, 310708344226050, 207002556042843 @ -107, -746, -234
429653564477054, 237558375007563, 395569581255812 @ 22, 45, -15
253462257219200, 293372919569925, 285178285740668 @ -101, -83, -165
333199329786495, 291847124221545, 291777020500333 @ -29, -29, 6
193637888061726, 293344096223371, 235123461598870 @ 108, -82, 10
194074925374874, 337075141451970, 267786632545226 @ -62, -436, -345
207175667489923, 276241133291321, 266905589654440 @ 123, -13, -27
404837201925854, 286791364333941, 349743337487447 @ -18, -9, -10
311846957577541, 289232042023079, 251452782385565 @ -207, -55, -10
339001029252427, 348305133197136, 243064370568146 @ -219, -200, 35
191639810509207, 332018702722217, 286376656797424 @ 55, -285, -275
165765499128842, 253978700561241, 99266144157224 @ 107, 83, 721
348161249618981, 167088974969088, 180640699244168 @ -25, 172, 197
432067371314450, 329960676286425, 321086782700168 @ -43, -60, 29
287103055489758, 289624192255649, 272126004632524 @ -92, -49, -45
245980317239834, 362106809114193, 143693204880812 @ -130, -369, 343
136717194019550, 263435705288565, 198401132859008 @ 269, 26, -61
279513103505321, 278549979949651, 271447667273247 @ -25, -15, -14
280679630132162, 178499385556233, 251088692615048 @ 147, 116, 117
453779137111530, 76876914683373, 558934652455602 @ -66, 241, -252
428138260927157, 219368512768671, 307688032049022 @ -43, 73, 43
423952743047450, 350232882649425, 364256893795568 @ -56, -91, -37
148335453562448, 265350597179069, 189679746334384 @ 47, -7, 33
133619443970450, 128866714577507, 166682928493291 @ 314, 377, 234
376837249562042, 248086832775777, 45359789625176 @ -24, 41, 385
348053909014046, 437807710936131, 346421966336696 @ 76, -174, 13
466548560695244, 533834686275532, 67783371540848 @ -40, -268, 317
326082821140134, 265798327132461, 280947345326088 @ 7, 16, 37
454229273342744, 230607465375849, 204235362011826 @ -148, 67, 163
400527028283578, 271837683877865, 297858273363880 @ -23, 9, 49
312196632386226, 304449899889111, 523109452028370 @ 10, -50, -386
349125061130988, 410662647569375, 246047073324020 @ -200, -331, 41
192315450494670, 301455721225775, 216813819543978 @ 228, -36, 144
412099447765450, 475562380402625, 309620911528168 @ -161, -342, -23
175421504352380, 302932833874893, 254955473256488 @ 224, -65, 37
512312841392796, 193549122251681, 133419762157274 @ -95, 95, 248
355504900393364, 344310858831075, 332851978529452 @ -100, -131, -87
154014549093694, 298137552557425, 174207343936836 @ 16, -481, 291
173850170714305, 285566399084625, 164404083069518 @ 91, -101, 287
248493020507428, 328481558491763, 281259890371448 @ 40, -135, -43
404950519925690, 523404836666095, 423977299108788 @ -190, -463, -255
339105508886384, 258256804380245, 246871744960874 @ -49, 29, 80
172468348234916, 261986491633934, 200065151376401 @ -28, 36, 26
178515454152452, 210351173835666, 230168837460821 @ -64, 470, -220
212482017498590, 243445877015545, 243218965554108 @ -25, 107, -72
413525164227368, 503447034034579, 256482600054522 @ -199, -420, 58
506167520237888, 249307849037349, 305635042915596 @ -145, 37, 43
184256624604698, 267163550636005, 297820328788806 @ 158, 9, -164
266968468102210, 184597899371085, 334107033050978 @ 82, 157, -70
388703082967301, 204852409201088, 543469590336381 @ -79, 110, -362
241998952521848, 121131875776107, 358406030730588 @ 125, 268, -113
142981032444730, 268765542978320, 199531047415483 @ 258, -10, 84
230835035049890, 260677057815777, 388844090139302 @ 74, 27, -317
177063589667390, 370425805678665, 337319908564100 @ 159, -361, -362
291754462813208, 424466871458019, 334550736667463 @ 52, -247, -58
219806771458564, 276801250184174, 312143013349744 @ 120, -10, -99
540681321981810, 478384507276649, 453432913015960 @ -356, -334, -252
206922122427668, 276003323787357, 206651327083826 @ 35, -27, 98
191731833242514, 65972251560457, 316387608559380 @ 186, 455, -102
358153070643738, 307783418491021, 298855423221164 @ 12, -40, 38
