Card   1: 69 24 51 87  9 49 17 16 21 48 |  5 52 86 35 57 18 60 84 50 76 96 47 38 41 34 36 55 20 25 37  6 70 66 45  3
Card   2: 59 63 94  2 95 30 57 69 85  7 | 95 44 84 30 92 21 74  9 99 49 24 23  8 68  7 63 45 28 96  2 69 77 93 59 85
Card   3: 90 28  1 14 41 83 24 59 55  6 | 29 15 72 47 32 96 73 76 52 20 53 26 78 39 85 92  3 67 51 75 64 54 99 65 22
Card   4: 88 86 30  6 50 32 66 89 81 93 | 99 93 68 37 13 56 66 88 78 89 81 69  6 50 53 86 45 34 32 38 36 84 49 30 35
Card   5: 97 23 64 49 50 60 80 55 65 66 | 30 25 93 92 39 91 85 38 80 52 86  6 40 64 89 15 98 81 13 66 68 87 43  2 74
Card   6: 42 58 18 41 39 60 86 91 71 29 | 20 90 83 19 65 13 70 18 46 95 49 56 52 15 21  8 81 93 89 31 87 91 24 86 53
Card   7: 29 51 49 50 83 80 15 45 61  2 | 29 27 50  4 68 51 15 63 12 33 83 64 96 66 97 10 43 39  2 45 94 89 61 49 82
Card   8: 34 55 80 83 94 48 61  6 68 53 | 76 84 54 46 48 41 93 39 61 96 24 53 83  9 92  6 78 23 47  4 95 31  8 28 56
Card   9: 36 17 51 57 85 66 12 60 22 28 | 50 28 21 34 59 85 49 65 43 17 48 38  3 36 52 44 32 35  7 12 51 61 60 57 22
Card  10: 34 82 78 94 18 13 43 73 55 92 | 88 24 25 82 17 39 69 64 66 80 29 31 58 26 84 92 36 96 30 14 32 99 12  1 18
Card  11: 10 26 21 81 52 90 83 53  1 79 | 34 39 43 86 90 20 23 25 21  1 15 66 93 58 17 68 46 84 71 62  8 81 82 10 26
Card  12: 18 64 34  3 60 10 25 74 73 55 |  4 77 69 19 35 39 54 16 58 71 11 49 64 62 59 12 44 25 80  5 90 36 61 43 21
Card  13: 77 41 66 78 53 94 32 82 15 96 | 55 94 60 16 69  6 82 34 42 65  2 37 20 21 40 57 86 17 35 66 18 68 33 78 46
Card  14: 17  1  7 83 36 53 62 10 20 29 |  9 28 82 13 33 83 49 72 19 37 64 96 12 85  5 75 66 73 31 93 15 70 67  4 52
