--- scanner 0 ---
-373,-505,495
726,-431,-735
969,-333,525
974,-314,431
-282,574,699
588,476,-482
12,23,-110
-347,-413,630
-307,484,-878
698,631,705
760,538,748
913,-376,524
688,-374,-647
-258,463,-934
718,500,661
-476,-823,-648
-419,435,-860
549,684,-453
657,-349,-883
-365,555,740
-519,542,672
511,436,-465
98,-84,19
-404,-506,511
-570,-813,-631
-436,-831,-723

--- scanner 1 ---
382,-438,840
-403,544,749
824,583,394
-580,-795,-437
-830,587,-494
95,-16,-49
660,-776,-365
-662,-430,486
665,-750,-317
-513,-848,-520
396,-449,873
629,-774,-443
-585,-442,577
-706,568,-482
-752,551,-598
750,431,-791
701,397,-848
-18,-160,29
831,633,628
-443,-475,502
-290,667,716
-442,675,734
801,531,561
409,-498,724
-527,-732,-378
746,420,-850

--- scanner 2 ---
-757,416,-610
630,444,-341
-471,-355,-807
-512,-587,748
866,-507,940
618,659,823
-455,-706,841
-522,429,-644
861,-601,921
309,-710,-826
-29,-58,2
-519,-544,-797
653,377,-387
805,-600,878
-437,-528,-743
-678,555,441
-544,647,423
-481,-571,749
-614,375,-625
300,-648,-637
549,807,905
64,50,130
580,571,880
-584,572,431
356,-783,-718
641,522,-355

--- scanner 3 ---
-397,741,649
613,283,796
-138,40,36
560,267,677
601,321,-513
-36,-88,-134
-884,-417,-545
-891,-435,-712
-641,-652,540
-673,-728,470
-617,575,-408
304,-368,627
682,-781,-355
633,265,-717
-489,733,486
-550,684,566
295,-418,674
333,-402,854
-479,610,-482
-616,617,-548
-865,-415,-662
480,267,822
815,-855,-362
653,392,-662
707,-919,-427
-789,-585,482

--- scanner 4 ---
-893,708,478
702,458,659
-362,-770,-661
668,-333,-616
-458,699,-625
664,371,701
-455,-837,-636
540,-648,591
628,420,-341
-821,846,453
698,-631,631
-586,-465,507
571,414,639
801,-368,-728
609,-614,776
647,379,-424
-34,-124,39
67,62,-47
660,447,-578
-531,-338,527
-512,-735,-755
-592,590,-679
-886,782,345
793,-409,-648
-508,699,-613
-735,-394,559

--- scanner 5 ---
507,-397,537
754,617,-598
-512,-507,655
-769,835,-443
-587,-564,642
-517,722,494
-222,-719,-274
596,600,-558
-284,-626,-335
92,-7,-38
973,611,780
-433,895,535
649,-426,523
-674,-529,580
-241,-625,-279
592,-489,-530
723,-445,-550
685,583,-413
715,-395,582
913,764,801
-462,718,457
630,-402,-488
-641,714,-472
146,83,123
-628,767,-519
948,665,679

--- scanner 6 ---
-347,-802,628
740,-472,669
-407,-823,781
814,-610,634
560,660,451
-690,466,-385
59,-23,-55
-813,-559,-380
795,714,-860
-372,-701,682
510,-884,-376
-724,536,617
-635,391,600
505,640,324
677,-877,-358
860,822,-796
560,-858,-356
709,608,380
-728,508,-472
-70,-108,50
-671,-545,-409
-605,-604,-378
-566,576,634
674,-609,676
-597,528,-428
867,689,-722

--- scanner 7 ---
-591,-929,-536
442,553,477
-562,-752,649
399,-918,-480
-436,-728,613
-510,-873,-401
-103,-138,128
328,-839,-583
-967,419,577
